,city,country,latitude,longitude,temperature,humidity,cloudy,wind speed,date
0,Bandarbeyla,SO,9.49,50.81,79.66,69,0,20.6,1595896684
1,Qaanaaq,GL,77.48,-69.36,44.2,61,0,2.86,1595896640
2,Zyryanka,RU,65.75,150.85,71.28,55,2,10.31,1595896685
3,Arman',RU,59.7,150.17,63.75,71,100,5.21,1595896326
4,Rikitea,PF,-23.12,-134.97,72.09,81,77,13.24,1595896509
5,Berdigestyakh,RU,62.1,126.7,64.96,61,100,7.83,1595896685
6,Oddur,SO,4.12,43.89,73.69,75,87,22.64,1595896348
7,Jamestown,US,42.1,-79.24,74.43,88,1,8.05,1595895996
8,Albany,US,42.6,-73.97,88.23,67,0,5.57,1595896517
9,Samaná,DO,19.21,-69.34,82.4,88,40,13.87,1595896687
10,Atherton,GB,53.52,-2.49,56.03,79,89,8.99,1595896687
11,Hatillo,PR,18.49,-66.83,80.06,100,16,1.99,1595896687
12,Palmas Bellas,PA,9.23,-80.09,77.0,94,100,5.01,1595896687
13,New Norfolk,AU,-42.78,147.06,45.32,93,49,2.95,1595896642
14,Hornepayne,CA,49.21,-84.77,63.3,84,71,5.14,1595896688
15,At-Bashi,KG,41.17,75.81,55.98,60,0,0.09,1595896688
16,Beloha,MG,-25.17,45.05,57.33,89,0,3.47,1595896690
17,Busselton,AU,-33.65,115.33,49.93,98,96,9.78,1595896683
18,Sirte,LY,31.21,16.59,75.52,81,0,6.49,1595896691
19,Yerbogachën,RU,61.28,108.01,55.33,91,100,11.14,1595896691
20,Manta,EC,-0.95,-80.73,71.6,88,90,9.17,1595896597
21,Savonlinna,FI,61.87,28.88,50.0,100,53,1.12,1595896692
22,Nome,US,64.5,-165.41,50.65,87,90,17.22,1595896692
23,Carnarvon,AU,-24.87,113.63,59.0,72,0,12.75,1595896692
24,Bethel,US,41.37,-73.41,81.9,62,1,3.36,1595896675
25,Kapaa,US,22.08,-159.32,82.36,70,20,23.04,1595896277
26,Gijang,KR,35.24,129.21,75.2,88,90,6.93,1595896693
27,Port Shepstone,ZA,-30.74,30.45,58.46,80,0,13.51,1595896693
28,Port Macquarie,AU,-31.43,152.92,65.12,55,72,6.93,1595896693
29,Morondava,MG,-20.28,44.28,64.02,61,1,10.0,1595896693
30,Kumul,CN,42.8,93.45,84.65,24,88,14.34,1595896694
31,Atuona,PF,-9.8,-139.03,79.72,69,0,25.37,1595896694
32,Koróni,GR,36.8,21.95,75.16,73,0,6.38,1595896694
33,Butaritari,KI,3.07,172.79,83.23,79,100,11.05,1595896694
34,Hilo,US,19.73,-155.09,79.27,58,75,6.93,1595896490
35,Yining,CN,29.04,114.56,82.27,83,99,0.92,1595896695
36,Alta Floresta,BR,-9.88,-56.09,78.8,54,0,1.12,1595896695
37,Yangjiang,CN,21.85,111.97,87.17,72,18,8.7,1595896695
38,Isangel,VU,-19.55,169.27,82.4,69,40,11.41,1595896682
39,Saint-Philippe,RE,-21.36,55.77,60.98,88,79,4.7,1595896696
40,Yellowknife,CA,62.46,-114.35,63.18,93,75,11.41,1595896560
41,Sambava,MG,-14.27,50.17,71.87,83,100,12.26,1595896696
42,Adrar,MR,20.5,-10.07,92.48,35,4,21.45,1595896696
43,Bluff,NZ,-46.6,168.33,45.0,85,100,1.99,1595896662
44,Port Alfred,ZA,-33.59,26.89,54.32,76,0,8.19,1595896525
45,Cape Town,ZA,-33.93,18.42,53.89,93,0,3.36,1595896697
46,Faya,SA,18.39,42.45,63.5,93,40,4.7,1595896697
47,Coquimbo,CL,-29.95,-71.34,53.6,87,0,2.24,1595896697
48,Synya,RU,65.37,58.04,51.53,78,100,4.88,1595896698
49,Gonder,ET,12.6,37.47,55.18,93,100,1.07,1595896698
50,Mount Gambier,AU,-37.83,140.77,48.2,93,100,1.12,1595896698
51,Bisert',RU,56.86,59.05,51.24,86,70,2.06,1595896698
52,Tselinnoye,RU,53.08,85.67,60.03,85,99,4.74,1595896699
53,Kaka,TM,37.35,59.61,79.68,22,0,3.33,1595896699
54,Bredasdorp,ZA,-34.53,20.04,37.4,93,0,1.45,1595896531
55,Hesla,IN,24.07,85.88,83.79,69,100,2.8,1595896700
56,Paphos,CY,34.77,32.42,69.96,78,0,8.05,1595896700
57,La Libertad,EC,-2.23,-80.9,69.8,88,90,8.05,1595896565
58,Katobu,ID,-4.94,122.53,81.57,66,80,6.49,1595896700
59,Pisco,PE,-13.7,-76.22,60.89,82,20,12.75,1595896461
60,Ushuaia,AR,-54.8,-68.3,33.8,80,40,26.4,1595896660
61,Henties Bay,NA,-22.12,14.28,57.99,80,0,6.62,1595896701
62,Morón,AR,-34.65,-58.62,44.15,50,100,8.05,1595896701
63,Flinders,AU,-34.58,150.86,60.15,89,98,8.99,1595896702
64,Turinskaya Sloboda,RU,57.62,64.39,51.22,88,92,3.6,1595896702
65,Thompson,CA,55.74,-97.86,60.8,77,75,9.17,1595896702
66,Hasaki,JP,35.73,140.83,84.07,79,75,12.75,1595896703
67,Rameshki,RU,57.34,36.05,57.65,97,0,3.09,1595896703
68,Lebu,CL,-37.62,-73.65,45.28,76,5,13.15,1595896703
69,Vaini,TO,-21.2,-175.2,73.4,88,75,14.99,1595896703
70,Carutapera,BR,-1.2,-46.02,75.6,87,0,5.88,1595896703
71,Kudahuvadhoo,MV,2.67,72.89,82.6,76,76,12.1,1595896704
72,Aalen,DE,48.84,10.09,66.9,64,0,7.02,1595896704
73,Zwedru,LR,6.07,-8.13,69.55,96,100,3.06,1595896704
74,Hamilton,US,39.18,-84.53,72.52,83,40,5.82,1595896705
75,George Town,MY,5.41,100.34,79.34,94,20,3.36,1595896682
76,Lompoc,US,34.64,-120.46,65.68,68,0,16.11,1595896492
77,Manjakandriana,MG,-18.92,47.8,57.2,82,75,5.82,1595896705
78,East London,ZA,-33.02,27.91,55.96,74,0,9.28,1595896705
79,Brownsville,US,25.9,-97.5,85.6,84,20,13.87,1595896681
80,Punta Arenas,CL,-53.15,-70.92,35.29,47,49,14.99,1595896682
81,Iqaluit,CA,63.75,-68.51,57.09,76,75,5.88,1595896706
82,Agüimes,ES,27.91,-15.45,73.22,73,75,27.51,1595896706
83,San Cristobal,VE,7.77,-72.22,84.2,66,40,9.17,1595896706
84,Mpika,ZM,-11.83,31.45,52.61,78,0,9.75,1595896707
85,Necochea,AR,-38.55,-58.74,42.01,92,100,11.99,1595896707
86,Avarua,CK,-21.21,-159.78,71.6,83,65,5.82,1595896707
87,Nanortalik,GL,60.14,-45.24,46.24,95,100,5.93,1595896707
88,Alekseyevsk,RU,57.84,108.35,65.77,77,100,1.7,1595896707
89,Tasiilaq,GL,65.61,-37.64,42.8,87,92,3.36,1595896708
90,Coyhaique,CL,-45.58,-72.07,37.4,74,20,3.36,1595896708
91,Hermanus,ZA,-34.42,19.23,43.0,93,0,5.95,1595896708
92,Phonhong,LA,18.5,102.42,78.8,100,75,4.7,1595896708
93,Airai,TL,-8.93,125.41,65.16,60,100,4.12,1595896708
94,Tessalit,ML,20.2,1.01,84.97,47,36,5.37,1595896709
95,Cherskiy,RU,68.75,161.3,46.33,55,72,10.76,1595896652
96,Katangli,RU,51.71,143.23,67.62,66,4,5.73,1595896709
97,San Patricio,MX,19.22,-104.7,87.8,66,40,5.82,1595896710
98,Ambatondrazaka,MG,-17.83,48.42,59.34,90,100,0.92,1595896710
99,Tuktoyaktuk,CA,69.45,-133.04,64.4,68,75,17.22,1595896710
100,Puerto Ayora,EC,-0.74,-90.35,67.93,78,40,16.11,1595896620
101,Qaqortoq,GL,60.72,-46.03,50.0,81,75,4.7,1595896710
102,Turochak,RU,52.26,87.12,59.58,87,78,1.61,1595896711
103,Bonavista,CA,48.65,-53.11,55.51,94,100,4.18,1595896711
104,Husavik,IS,66.04,-17.34,48.2,66,90,6.93,1595896711
105,Khasan,RU,42.43,130.64,65.84,94,100,6.64,1595896711
106,Castro,BR,-24.79,-50.01,59.99,73,100,3.33,1595896712
107,Katherine,AU,-14.47,132.27,69.8,21,12,14.99,1595896712
108,Havøysund,NO,71.0,24.66,64.4,63,0,18.34,1595896712
109,Hobart,AU,-42.88,147.33,48.04,93,40,9.17,1595896712
110,Diu,IN,20.71,70.98,82.4,83,55,8.46,1595896712
111,Lakki,PK,32.61,70.91,96.17,38,0,6.76,1595896713
112,Poum,NC,-20.23,164.02,74.8,78,99,19.37,1595896713
113,Campos Altos,BR,-19.7,-46.17,61.77,69,45,1.23,1595896713
114,Chui,UY,-33.7,-53.46,48.27,73,100,7.11,1595896713
115,Bambous Virieux,MU,-20.34,57.76,66.58,88,40,3.36,1595896567
116,Smoky Lake,CA,54.12,-112.47,76.84,73,0,7.25,1595896714
117,Ribeira Grande,PT,38.52,-28.7,73.51,89,6,4.36,1595896714
118,Ponta Delgada,PT,37.73,-25.67,69.8,94,20,2.24,1595896597
119,Klaksvík,FO,62.23,-6.59,46.4,93,99,13.87,1595896596
120,Mombasa,KE,-4.05,39.66,74.17,84,15,16.49,1595896715
